sale_id,sale_date,customer_id,store_id,product_id,quantity
1,2023-08-20,176,3,13,2
2,2024-04-28,201,1,45,1
3,2023-03-23,110,4,99,5
4,2023-08-03,266,5,39,2
5,2024-06-08,275,1,80,1
6,2024-04-12,134,5,16,2
7,2024-07-30,159,1,60,5
8,2023-12-05,32,3,93,4
9,2024-06-27,287,5,3,4
10,2023-11-02,110,1,32,1
11,2024-05-06,176,5,13,3
12,2023-09-21,7,2,79,5
13,2024-01-29,120,5,5,1
14,2024-02-09,255,1,92,4
15,2023-12-28,169,1,22,2
16,2023-07-30,11,5,76,1
17,2023-08-01,231,4,58,2
18,2023-05-29,105,3,96,3
19,2024-06-02,123,1,69,2
20,2023-08-29,108,1,41,2
21,2023-02-22,282,3,97,2
22,2023-03-28,67,5,31,3
23,2024-06-07,59,4,9,3
24,2023-12-27,103,4,70,1
25,2023-03-11,204,3,37,2
26,2023-06-16,40,2,89,1
27,2024-05-29,122,1,21,4
28,2024-02-13,142,3,6,3
29,2023-10-20,251,4,17,5
30,2024-04-04,145,1,20,4
31,2023-03-10,16,3,38,2
32,2023-01-05,276,1,79,3
33,2023-08-02,71,3,56,3
34,2023-02-15,2,4,33,2
35,2023-01-30,50,5,10,3
36,2023-10-04,42,1,45,1
37,2024-04-02,296,1,86,4
38,2023-12-12,294,4,20,4
39,2024-02-14,232,1,94,2
40,2023-11-06,203,2,2,3
41,2024-02-01,119,1,5,5
42,2024-01-07,272,3,81,1
43,2024-03-02,281,2,46,4
44,2024-06-25,295,3,10,4
45,2024-04-13,261,1,10,3
46,2024-02-16,246,5,80,1
47,2023-09-01,152,1,39,3
48,2023-05-06,235,3,77,1
49,2024-02-20,132,1,18,3
50,2023-06-13,209,3,2,1
51,2024-08-08,63,3,59,4
52,2023-05-22,164,1,76,3
53,2024-03-16,208,2,6,5
54,2024-05-07,294,5,23,2
55,2024-04-11,158,2,72,4
56,2023-11-21,230,3,85,4
57,2024-03-01,110,5,39,3
58,2023-03-27,56,4,24,2
59,2024-01-15,61,3,49,5
60,2023-05-04,235,2,34,5
61,2023-12-16,154,1,15,4
62,2024-03-11,40,2,98,3
63,2024-07-06,68,1,94,1
64,2023-07-05,82,2,63,2
65,2023-06-10,300,2,56,2
66,2023-06-04,244,5,86,2
67,2023-06-13,169,2,37,5
68,2024-08-21,157,2,90,4
69,2023-08-10,273,4,24,1
70,2023-11-01,102,2,38,2
71,2023-11-05,110,2,44,2
72,2023-12-04,200,1,53,1
73,2024-07-16,276,2,65,4
74,2023-12-04,270,3,60,2
75,2024-02-01,280,5,72,2
76,2023-07-26,83,4,5,3
77,2023-08-31,143,5,47,1
78,2024-06-11,54,2,85,4
79,2023-06-19,285,3,63,4
80,2023-07-24,281,2,79,4
81,2023-09-02,3,2,64,4
82,2023-08-07,109,3,43,5
83,2023-01-12,192,3,81,4
84,2024-03-31,230,1,52,3
85,2024-02-20,218,4,54,1
86,2023-06-15,110,5,9,4
87,2023-01-28,191,3,17,4
88,2023-02-04,72,4,35,4
89,2023-05-06,187,5,79,5
90,2024-01-15,9,4,82,1
91,2023-02-12,91,1,4,1
92,2024-02-22,82,3,17,5
93,2024-06-05,26,3,100,2
94,2023-08-15,217,3,68,5
95,2024-07-26,70,5,80,3
96,2023-11-26,181,4,57,1
97,2023-01-16,54,4,37,2
98,2024-05-22,179,1,80,3
99,2023-03-23,205,3,14,3
100,2023-05-26,52,5,4,1
101,2024-05-26,79,1,28,4
102,2023-07-21,4,5,66,1
103,2024-08-21,235,5,1,5
104,2023-05-03,76,4,26,4
105,2023-09-24,187,5,75,5
106,2023-07-11,128,5,62,5
107,2024-02-20,285,4,26,4
